gene	ACH-001339	ACH-000765	ACH-000008	ACH-000465	ACH-000550	ACH-000322	ACH-002508	ACH-000632	ACH-000441	ACH-000805	ACH-001328	ACH-001521	ACH-000580	ACH-001568	ACH-002458	ACH-001569	ACH-000814	ACH-001973	ACH-002005	ACH-002003	ACH-002461	ACH-000799	ACH-001523	ACH-001551	ACH-002511	ACH-002460	ACH-000614	ACH-000014	ACH-000348	ACH-001566	ACH-000572	ACH-001239	ACH-001970	ACH-000425	ACH-000404	ACH-000882	ACH-000458	ACH-002084	ACH-001522	ACH-000650	ACH-001563	ACH-002510	ACH-000822	ACH-000812	ACH-002509	ACH-001524	ACH-001982	ACH-000730	ACH-001567	ACH-000661	ACH-001190	ACH-002459	ACH-001645	ACH-000304	ACH-000931	ACH-000810	ACH-002001	ACH-001550	ACH-000450	ACH-000423	ACH-001552	ACH-000915	ACH-000881	ACH-000899	ACH-000884	ACH-000477	ACH-000401	ACH-000615	ACH-000801	ACH-002512	ACH-002004	ACH-000827	ACH-000987	ACH-000274	ACH-000644	ACH-000219	ACH-000582	ACH-001570	ACH-001442	ACH-000640	ACH-002002	ACH-000579	ACH-000788	ACH-000968	ACH-000750
ZZZ3	27.1	33.71	22.23	21.54	25.82	18.2	31	27.82	18.02	12.27	16.16	31.41	23.55	10.17	13.67	33.73	21.45	47.67	50.59	27.12	16.44	12.6	41.38	21.11	26.54	16.94	26.62	21.35	27.08	15.33	18.93	14.37	28.07	8.06	23.15	20.45	38.3	50.67	25.02	47.97	28.32	30.6	22.99	33.13	19.16	21.34	23.05	19.28	14.64	28.85	29.82	16.47	27.61	14.24	31.99	24.36	23.24	32.99	28.74	21.09	30.55	23.36	18.71	27.16	27.72	19.27	19.86	31.93	22.77	21.17	19.23	27	30.34	16.9	15.96	26.81	23.57	19.71	19.12	12.74	37.41	35.42	30.19	6.24	25.68
SLC18A1	8.71	3.93	4.08	0	0	1.06	0.01	4.88	0.49	6.87	0	0	3.44	0.12	0.11	0.0600000000000001	0.83	0.29	0.86	0.28	0	1.64	0	0	0.04	0.0800000000000001	5.2	1.36	0	0.03	0.0600000000000001	1.6	0.49	9.9	17.84	0.35	0	0.05	0.03	0.04	0	0.34	1.03	0.77	15.34	0	0.0600000000000001	2.79	2.03	31.29	0.69	0	10.33	0.69	0.19	0.0800000000000001	0.17	0.01	0.3	3.44	0	0.72	0.38	9.92	0.18	0.44	4.36	1.05	0.02	14.17	0.44	0.36	0.01	0.14	0.58	0.23	1.14	0.02	0	3.07	0	1.36	28.56	0.13	0.02
USP2	0.78	0.77	0.66	1.27	1.69	0.7	0.38	1.56	1.44	5.38	0.0800000000000001	0.0700000000000001	1.56	0.16	0.43	0.45	0.82	1.24	0.25	0.73	0.5	2.79	1.07	3.4	1.36	0.82	0.46	2.29	1.05	1.1	1.28	3.43	3.46	3.59	2.6	0.53	0.68	1.82	2.79	2.77	0.31	1.15	0.23	4.75	3.25	0.43	1.33	1.17	1.82	0.35	0.98	0.16	0.75	0.6	1.32	0.56	0.45	0.52	0.33	1.44	2.04	0.8	0.82	2.21	0.38	1.32	0.96	0.56	2.03	2.52	4.62	0.99	1.19	2.12	2.28	0.46	3.59	1.24	0.24	1.15	0.32	3.35	0.33	1.81	0.15
CASR	0	0.0700000000000001	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0.01	0	0	0	0.01	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0.0800000000000001	0	0	0	0	0	0	0	0
TUBG2	13.1	9.35	15.64	27.86	34.5	20.1	9	10.71	10.21	10.72	16.77	20.51	16.38	11	18.01	11.19	22.14	3.58	9.78	11.47	26.4	33.18	9.91	7.11	8.6	15.82	19.81	26.64	31.4	5.68	16.14	30.54	9.58	33.58	16.25	21.68	29.09	16.21	11.36	15.66	9.79	13.35	18.82	11.74	16.98	7.58	5.06	17.95	11.83	23.61	13.52	15.07	8.32	35.14	11.86	12.08	13.54	13.04	16.52	23.1	8.82	13.6	14.93	13.64	30.13	22.1	32.39	15.27	25.56	6.59	9.01	23.13	18.2	5.29	24.28	17.56	24.47	14.62	7.74	27.33	21.73	32.42	22.44	13.33	26.13
RPL26L1	116.05	128.74	116.51	115.69	135.61	165.51	64.43	123.9	203.81	105.86	94.64	114.02	116.2	77.8	124.71	89.2800000000001	101.71	76.09	100.54	65.63	85.58	92.67	74.85	152.76	83.59	112.4	75.94	102.94	97.81	131.61	91.99	63.04	80.39	164.13	104.39	136.19	91.13	186.21	160.79	104.34	99.91	105.86	93.26	52.27	113.93	104.64	63.46	89.65	155.09	76.48	301.73	54.57	172.85	98.71	113.71	159.3	88.05	168.02	115.54	177.68	100.47	99.14	200.12	90.57	183.07	47.37	78.18	82.55	194.29	71.07	133.9	107.45	81.09	53.61	55.23	131.38	69.75	179.73	95.3	127.39	112.07	83.55	100.35	74	120.9
FLT4	0	0.02	0.01	0.0600000000000001	0.16	0	0	0.01	0.63	0.0700000000000001	0.04	0.77	0.11	0.17	0	0.0800000000000001	0	0	0.01	0	0	0.45	0.01	9.22	0.34	0.01	0	0	0	0.01	0	0.02	0.01	0.02	0.0600000000000001	0.01	0	0	0.02	0.17	0	0	0.01	0	0	0.02	0	0.73	0	0.02	0.03	0.02	0.01	0.01	0	0.13	0	0.0700000000000001	0	1.34	0.19	0.0700000000000001	0.04	0	0.01	0.15	0	0.03	0.0800000000000001	0	0.05	0.02	0	0	0.0700000000000001	0	0.47	0.01	0.04	0.01	0.12	0.04	0.0800000000000001	0	0
NSUN2	62.85	89.91	123.05	40.96	66.28	121.89	33.85	98.8	79.93	73.46	31.24	223.15	82.8200000000001	20.13	70.19	33.66	96.99	55.87	76.04	56.8	34.33	110.74	102.1	31.17	39.19	42.88	60.68	102.76	51.14	67.58	157.2	48.23	102.32	90.83	95.12	108.68	152.88	79.21	64.02	98.58	71.61	61.2	89.35	55.81	71.04	61.83	61.15	138.7	52.72	194.7	45.89	65.97	45.16	66.63	60.47	92.25	49.01	36.47	99.57	79.05	80.0300000000001	58.48	77.2300000000001	104.57	54.15	72.98	98.8	53.8	67.66	102.85	60.94	80.64	78.45	56.77	44.39	109	72.25	51.2	94.92	69.07	66	86.37	131.98	80.0300000000001	81.45
FBXO42	6.93	12.43	6.64	9.71	10.31	7.26	7.84	7.78	11.54	10.07	9.22	5.37	12.08	4.42	4.14	12.79	7.95	11.43	9.44	5.74	6.41	6.87	14.12	6.79	12.25	5.56	7.84	7.47	9.17000000000001	8.62	12.84	8.72	10.69	10.07	7.44	12.34	12.44	8.67	8.6	10.87	4.29	6.89	9.53	10.48	7.96	9.23	8.6	4.02	6.23	6.8	5.89	5.31	7.68	10.21	9.5	10.56	5.03	10.98	6.29	7.53	9.37	5.51	6.25	8.09	3.92	4.8	10.26	11.67	5.88	4.15	8.01	9.16	12.27	11.3	8.9	6.53	6.22	7.85	6.21	10.14	6.01	7.3	7.17	5.14	2.57
MFAP3	20.97	22.18	20.64	22.49	28.92	28.38	14.95	22.26	25.33	15.03	14.76	31.07	24.49	1.32	42.68	8.24	27.18	41.09	20.96	32.89	14.88	17.53	39.27	62.31	57.33	59.25	20.79	25.19	25.36	3.91	21.59	12.25	28.73	16.37	19.04	21.46	39.14	28.69	60.44	26.11	40.57	13.1	23.58	27.84	56.81	52.92	23.18	13.11	10.02	24.26	46.39	56.44	28.67	39.17	37.54	23.08	33.34	46.38	10.45	17.99	44.58	11.86	18.84	58.4	21.48	13.66	11.6	24.34	23.82	15.16	39.21	27.05	8.08	12.47	12.59	30.71	8.48	8.99	23.4	29.54	45.33	12.27	25.91	14.43	17.37
MRI1	2.86	10.37	26.59	21.75	40.03	16	13.34	26.88	23.78	17.37	4.78	6.84	14.66	4.94	7.98	8.6	22.66	9.59	15.41	25.93	7.55	19.06	12.64	10.59	11.63	6.79	15.58	24.78	30.78	12.4	23.97	24.28	7.05	26.98	16.72	27.27	17.86	11.74	9.28	21.63	3.48	3.67	19.3	31.76	10.22	12.75	6.5	16.29	4.78	16.48	8.85	8.86	5.82	26.34	12.87	40.82	24.56	11.14	15.28	14.66	5.11	44.19	19.22	34.82	54.87	11.67	9.3	10.29	25.13	5.94	7.84	17.32	14.26	14.52	24.51	56.95	21.27	9.18	5.5	17.01	23.01	40.99	27.02	14	12.48
METTL1	28.69	25.7	40.22	115.6	15.21	43.26	28.87	32.81	22.04	35.33	21.78	46.37	17.75	24.63	14.48	26.61	48.4	22.48	27.46	26.09	23.06	26.03	10.11	11.9	270.16	17.02	32.77	28.29	30.92	34.64	32.77	39.75	35.63	49.63	40.12	32.78	33.43	85.94	74.8200000000001	17.47	10.49	17.44	24.18	46.04	33.54	16.34	32.62	34.51	14.01	34.17	36.56	18.98	12.25	38.42	20.75	32.5	26.59	11.45	42.28	37.31	21.68	25.33	28.26	20.73	13.65	36.66	24.58	21.56	19.88	74.57	13.87	47.78	37.78	37.75	37.23	40.2	43.23	30.16	19.27	36	27.38	70.59	38.29	39.42	35.78
HOXC8	3.37	1.86	3.54	2.47	3.13	6.76	10.23	5.11	4.9	11.99	0.12	0.75	2.61	0.72	3.35	4.26	4.78	4.5	1.66	6.17	7.2	4.66	0.0700000000000001	4.42	1.18	4.45	6.08	3.84	5.04	4.99	9.59	4.88	5.03	13	3.53	0.27	1.07	2.13	1.97	1.02	3.39	0.0800000000000001	3.58	3.76	6.65	0.31	4.62	3.6	3.45	3.86	1.68	5.22	3.94	8.5	0.53	7.08	6.23	10.54	1.97	2.56	2.65	5.01	2.23	6.31	6.67	5.34	4.95	1.27	4.46	5.73	6.1	4.83	0.96	0.27	8.55	8.41	3.49	3.32	0.29	0.52	8.22	2.6	7.42000000000001	0.5	12.21
AGA	41.77	25.38	44.05	26.75	25.3	42.79	26.89	50.81	81.25	59.79	23.39	58.49	69.72	15.42	50.99	17.5	60.06	61.54	32.96	23.5	119.23	59.21	31.46	16	52.92	38.89	110.82	101.71	40.69	18.64	34.21	84.85	39.62	27.71	35.48	57.36	57.8	38.11	26.27	26.54	13.25	26.99	59.05	36.86	23.38	23.49	53.77	128.79	24.3	26.5	57.38	29.87	46.96	57.65	34.25	37.98	42.62	45.64	32.85	41.67	26.68	34.17	47.35	73.44	58.09	122.71	46.24	95.79	65.16	40.19	44.6	48.98	38.41	62.39	90.46	50.95	58.9	61.79	22.21	55.09	27.74	63.71	72.22	34.51	10.5
PI4K2B	11.9	9.42	9.87	24.83	10.34	9.89	7.91	11.98	8.58	14.57	8.86	16.11	13.46	4.25	7.97	4.63	16.03	17.67	9.3	12.87	13.92	12.27	13.21	9.38	16.35	9.25	9.25	12.34	10.73	3.72	7.58	12.44	11.62	8.98	3.93	4.99	7.49	22.09	9.61	9.91	26.52	2.76	7.76	11.57	12.83	5.24	12.75	5.94	13.48	9.45	17.99	5.51	6.57	17.34	15.65	9.89	11.59	21.06	7.52	7.52	16.87	17.82	7.41	9.94	17.06	8.84	9.82	8.73	11.28	9.43	15.61	18.39	8.12	7.32	5.66	9.99	5.87	8.74	9.92	11.36	14.6	8.29	8.7	5.79	5.57
BOD1L1	10.68	27.09	32.74	49.67	15.28	20.62	12.51	28.49	17.15	22.47	6.08	8.07	27.3	3.29	17.56	17	26.73	13.8	13.53	28.43	13.88	16.5	18.25	12.96	17.2	18.75	21.87	33.68	20.71	8.99	17.39	18.02	35.87	16.57	12.44	31.73	22.58	22.39	17.78	8.31	13.3	10.49	22.89	24.37	24.84	12.14	16.93	20.54	10.99	21.7	24.28	20.68	10.05	33.94	21.56	13.19	26.33	28.47	16.45	20.84	11.29	16.86	17.21	26.95	20.41	22.14	15.12	16.96	16.3	17.87	16.19	20.97	26.01	11.19	14.06	36.47	19.01	19.29	10.42	23.29	23.55	20.51	27.63	2.19	15.03
MAT2B	43.56	53	21.75	52.21	70.35	42.2	55.94	47.16	55.62	21.67	70.41	89.18	29.97	15	49.56	40.59	38.02	52.98	39.06	45.32	41.23	38.71	96.17	40.99	71.85	54.67	40.92	25.24	45.76	43.71	40.58	28.18	35.11	32.93	37.31	24.8	30.29	86.56	98.59	51.9	48.1	30.54	31.37	40.28	67.14	143.43	36.46	31	57.69	40.81	69.61	40.41	48.66	54.25	63.27	60.62	63.88	95.81	42.8	68.96	53.55	36.8	52.5	36.8	49.51	21.05	27.45	48.99	60.91	28.65	56.95	33.52	47.96	34.71	22.9	61.69	26.31	56.8	56.28	47.17	96.15	28.71	38.71	30.66	50.01
TLL1	0	0	0	0.01	0.73	0.01	0	0	0	0.01	0.02	3.04	0.01	0	0.18	0	0	0	0	0	0	0.05	0.1	8.81	0	0.02	0	0.88	0	0	0	0.02	0	0.01	0	0.04	2.68	0	0.01	0	0.04	0	0.02	0	1.5	0.11	0	0.01	0	0	0	0.86	0	0	5	0.05	0.01	2.01	0	0.03	1.12	0	0	0.05	0	0	0	0.01	0	0	0	0.05	0	0	0	0.03	0.16	0.01	0.37	0.05	0.01	0.03	0	0.01	0
EDC4	19.04	56.04	38.4	60.94	53.57	40.54	9.09	42.62	32.46	34.47	18.49	35.13	40.81	7.42000000000001	28.73	11.77	45.83	41.47	26.83	24.02	18.89	44.78	21.17	23.54	32.59	32.25	31.38	47.45	47.94	12.25	31.59	23.85	33.33	30.89	43.2	44.18	47.7	21.08	20.73	69.12	11.76	8.16	37.32	21.33	32.17	32.39	29.28	29.96	21.61	35.33	48.69	37.92	15.2	42.4	49.15	42.55	21.99	28.52	31.63	51.25	43.77	53.89	47.09	39.77	27.52	35.62	38.28	20.09	43.91	13.2	14.8	41.49	52.19	45.99	27.96	55.93	41.69	19.21	14.99	52.07	27.27	40.41	53.5	28.75	32.65
TRIO	14.9	96.68	35.24	69.19	92.14	41.53	39.38	50.19	28.23	27.6	12.16	31.31	25.9	10.97	36.32	16.19	49.06	35.37	34.89	14.3	47.66	53.25	108.2	35.16	47.73	27.6	27.11	54.47	41.93	39.34	81.05	25.15	72.48	37.51	19.37	97.09	79.69	29.18	27.59	78.1	59.74	16.18	65.6	20.28	24.85	43.56	28.67	83.98	22.42	70.98	40.03	60.3	12.65	22.82	24.33	54.6	14.24	49.99	50.06	39.92	58.46	23.78	38.35	43.66	34.04	48.35	31.23	45.07	62.42	45.94	14.4	95.87	75.91	75.51	16.59	25.84	23.43	30.81	41.97	22.23	32.54	32.58	41.11	34.12	83.8
VCAN	17.58	7.11	6.19	0.78	0.92	21.67	0.42	12.05	0.29	5.2	0.01	0.02	10.67	0.02	63.71	0.17	32.66	0.95	0.29	0.42	41.83	37.28	0.0900000000000001	14.81	6.41	115.6	12.99	57.25	116.43	1.07	3.98	99.38	0.22	88.93	0.92	5.79	0.24	0.14	0.57	0.1	0	0.61	33.06	38.4	70.04	0.23	0.0800000000000001	85.78	16.45	33.58	2.4	78.05	0.54	60.39	48.27	0.2	4.36	289.99	1.08	6.09	81.1600000000001	5.37	0.27	22.97	11.05	20.19	17	7.71	0.16	3.45	22.96	30.44	0.16	1.79	30.39	1.46	0.18	0.03	0.01	20.02	5.88	0.39	7.32	0.13	57.78
CLEC16A	4.45	8.42	9.56	18.02	8.26	10.72	4.09	6.76	12.4	10.2	4.95	5.06	14.06	3.21	5.2	5.26	12.62	6.51	7.54	5.57	6.77	14.51	8.05	3.66	11.54	6.36	11.61	11.73	11.6	9.36	12.3	9.3	9.4	10.57	13.67	8.54	6.96	8.87	15.64	12.24	4.59	6.14	10.98	9.9	12.62	9.32	6.39	8.49	7.43	12.55	8.35	5.15	5.72	11.72	13.39	8.97	5.65	8.74	9.55	6.32	5.81	7.65	8.08	21.12	10.33	6.83	7.58	9.59	12.53	9.7	10.39	10.21	14.94	10.74	14.46	10.66	10.49	6.01	3.38	14.69	5.68	9.16	11.63	15.27	9.63
MSR1	0.01	0.03	0	0.41	0	0	0.14	0.44	0	0.01	0.13	0	0.19	0.04	0.97	0	0.01	0.02	0	7.93	0.67	0.11	1.37	0.04	0	2.22	0.37	0.84	14.49	0	0.16	0.14	0.24	0.15	0.03	0.02	8.36	0	0	0	0.99	0	0.63	1.38	0.17	0	0	0.01	0.01	0.01	0.42	0.94	33.68	0.18	0.03	0	7.22	0.33	0	0	0.85	0	0	0.01	0.65	0	0	0.05	0	0	0.25	0.18	0.05	0.05	0.02	3.62	0.17	0.94	0	1.2	30.07	0.01	0	0	17.24
CDH1	0.19	0.96	0.26	44.03	0.3	0.16	0.04	0.22	0.61	0.76	81.66	72.37	0.4	0.2	0	8.97	0.4	0.0900000000000001	1.34	0	0	0.17	215.29	0.11	0	0	0.95	1	0.35	6.44	16.77	1.6	167.99	0.24	22.8	1.12	141.48	62.31	0.11	10.8	0.0800000000000001	0.17	0.36	0.18	0	128.95	75.62	8.46	0.05	0.87	0.26	0.01	0.0600000000000001	0.38	0	3.08	0	0.18	49.03	0.59	1.14	0.37	0.14	1.05	0.0700000000000001	93.41	0.28	7.96	2.33	0.01	0.22	0.82	0.28	0.0800000000000001	0.39	0.27	0.56	9.06	102.53	0.74	0.01	84.76	0.17	0.27	0.11
MTREX	32.57	62.75	39.63	30.12	61.48	51.7	26.92	58.28	53.54	37.64	37.23	57.38	45.3	27.37	66.24	34.33	48.46	54.84	38.74	77.76	49.97	28.86	22.26	57.87	38.34	67.96	38.59	27.66	59.2	41.55	43.14	34.87	43.89	34.61	49.52	52.88	63.7	41.68	14.76	44.04	50.67	44.39	33.77	29.39	49.12	54.55	40.12	44.07	34.55	37.57	53.8	51.25	105.63	55.28	47.72	46.4	90.23	79.96	40.37	35.5	69.29	52.77	24.91	39	55.7	16.78	27.99	46.39	59.48	25.48	69.3	53.1	65.84	33.71	28.05	74.1	24.06	32.62	29.61	36.2	99.46	31.51	57.5	10.09	82.93
DNAH5	0.17	0.67	0.17	0	0.54	0.21	0.78	1.14	0.02	0.02	0.48	0.66	0.03	0	0.25	0.01	0.1	0.01	0	0.0800000000000001	0.88	0.53	1.76	0.93	1.6	0.25	0.02	1.25	1.11	0.04	0.14	0.05	0.24	0.25	0.04	0.17	0.84	0.05	0.1	0.01	0.54	0.04	0.59	0.25	0.15	0.48	0.33	0.01	0.39	0.3	0.18	0.24	0.03	0.2	0.17	0.0600000000000001	0.0600000000000001	1.02	0.02	0.02	1.04	0.04	0.37	0.02	0.25	0.02	0.14	0.0600000000000001	0.0700000000000001	0.01	0.0700000000000001	0.69	0.02	0.19	0.03	0.18	0.04	0.02	1.28	0.27	1.14	0.23	0.19	0.02	0.36
ZFYVE16	21.18	60.43	14.83	37.71	16.91	26.65	8.41	20.19	37.87	29.48	7.05	6.78	32.72	73.56	18.82	48.74	26.07	33.73	81.81	11.54	9.6	11.62	9.41	12.76	24.18	17.13	134.13	12.05	10.11	104	92.85	33.67	34.17	23.52	69.74	41.07	10.39	89.4	44.91	87.64	9.25	51.92	10.47	22.14	8.55	20.52	34.83	103.22	18.1	43.07	25.48	13.24	25.68	22.4	37.02	47.76	9.28	26.46	71.94	88.04	14.98	30.64	25.59	38.14	7.97	41.93	14.27	72.61	94.63	32.38	50.54	16.75	81.09	15.89	17.71	12.77	35.85	46.84	5.5	20.41	10.65	47.44	17.08	13.72	11.4
RIPOR1	16.54	31.15	24.27	59.29	59.91	39.16	17.92	22.47	32.62	26.58	8.9	7.17	29.53	5.55	27.8	15.36	32.04	24.2	28.18	21.03	25.04	31.98	12.61	16.33	18.33	26.07	39.73	30.15	30.2	9.41	29.13	30.44	16.22	34.2	40.43	32.88	36.76	16.3	14.51	58.14	22.66	9.79	27.94	32.8	24.95	43.93	10.04	13.51	16.74	26.51	13.1	28.58	11.37	34.99	15.21	41.67	24.24	34.64	24.85	71.85	22.33	36.44	24.66	17.84	27.91	29.14	29.72	19.43	40.06	17.31	11.63	58.72	48.54	34.23	23.42	30.02	29.59	12.75	16.8	35.4	31.29	34.56	24.84	20.31	36.44
C6	0.02	0.1	0.05	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.15	0	0	0.01	0	0	0	0	0.0700000000000001	0	0	0	0.16	0	0	0	0	0	0	0	0.02	0	0	0.16	0	0.02	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0.01	0	0.0600000000000001	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0.0600000000000001	0	0	0	0	0
RAI14	43.79	56.32	39.99	27.42	66.37	39.43	44.47	42.72	23.78	30.26	6.74	36.69	31.4	8.28	21.89	17.07	44.33	17.95	17.22	19	25.64	19.52	284.63	62.77	32.17	39.42	33.69	40.35	44.66	21.33	61.71	30.51	23.64	35.24	44.33	27.82	95.32	56.56	25.22	33.4	22.65	51.15	146.2	49.4	138.09	9.04	24.12	25.86	15.58	116.84	15.46	23.49	36.1	27.47	18.82	34.22	19.07	57.32	37.53	39.73	101.43	27.33	34.87	39.19	27.59	29.3	50.6	35.26	30.6	8.44	26.55	82.1	41.63	154.97	17.44	17.77	30.07	23.95	16.88	52.88	39.71	40.55	39.26	24.99	90.9
SOX30	0.0900000000000001	0	0	0.0600000000000001	0.0700000000000001	0.05	0	0.03	0	0.04	0.19	0.05	0.05	0	0.05	0.0700000000000001	0.14	0.0700000000000001	0	0.02	0.0600000000000001	0.02	0	0.0800000000000001	0.34	0.05	0.0800000000000001	0.0700000000000001	0.1	0.02	0	0	0	0.0700000000000001	0.02	0.03	0.61	0	0.01	0	0	0	0.05	0.0900000000000001	0.13	0.13	0.04	0.01	0.26	0	0.13	0	0	0.0800000000000001	0	0.04	0.0700000000000001	0.28	0	0.01	0.11	0.05	0.01	0	0.11	0.01	0	0.01	0.05	0.03	0.0600000000000001	0	0	0.0600000000000001	0.03	0.01	0.02	0.1	0.05	0.1	0.2	0.03	0.02	0	0.04
PNKP	13.52	47.47	50	64.6	66.39	49.9	7.34	49.19	35.88	41.73	16.55	11	39.74	10.84	33.09	13.2	49.82	7.68	30.85	29.41	31.42	55.55	13.79	49.26	8.05	32.39	56.4	58.39	69.57	16.25	35.78	43.27	14.09	36.34	35.54	45.69	16.7	6.21	9.4	32.89	8.68	11.41	43.02	46.81	28.92	17.28	8.45	29.98	8.65	34.05	39.1	29.09	13.39	54.35	22.5	30.14	36.56	27	44.55	39.02	9.52	25.6	36.23	52.59	42.54	47.98	27.57	54.72	31.7	21.95	21.26	50.2	49.94	39.12	48.48	49.66	66.72	33.21	19.09	47.48	32.91	61.85	54.18	24.42	23.4
BEST2	0.01	0.02	0.03	0.02	0.0800000000000001	0	0.02	0.01	0	0	0.01	0	0.03	0	0	0.01	0.04	0	0	0	0	0	0	0	0.05	0	0	0	0.01	0.01	0	0.0900000000000001	0	0	0.01	0.05	0.0800000000000001	0	0.01	0.0900000000000001	0.01	0	0	0.03	0	0	0	0	0.01	0	0.14	0.01	0	0	0.05	0.03	0.03	0.02	0	0.04	0.02	0.01	0	0	0.12	0.04	0.05	0	0	0	0	0.0700000000000001	0	0.02	0.05	0	0	0.01	0	0	0	0.04	0	0.01	0
PHLPP2	1.92	4.92	3.68	4.16	7.6	3.03	0.62	2.62	3.39	3.33	0.79	2.02	3.49	0.71	1.62	1.14	5.15	1.3	2.26	2.23	2.6	3.69	2.18	1.6	3.24	2.91	2.62	4.19	3.84	0.71	4.58	3.27	1.92	2.43	3.3	3.6	7.84	2.12	1.79	6.1	2.34	0.88	2.81	6.64	1.56	1.4	3.37	2.52	1.86	4.39	5.26	4.19	1.06	3.9	4.38	3.92	1.72	5.44	2.06	1.44	4.75	3.04	3.03	4.04	2.37	3.62	2.25	2.7	3.91	1.56	1.76	4.48	3.91	2.84	1.98	4.57	2.44	1.18	0.97	4.95	2.73	2.55	3.1	0.87	3
SPDL1	33.2	61.07	30.32	25.69	153.83	58.01	36.91	55.15	22.19	25.04	19.5	33.24	19.68	9.92	36.72	13.66	37.89	28.21	25.46	14.4	32.6	40.5	13.68	73.12	58.03	27.95	23.5	19.07	54.91	15.88	33.43	39.05	10.23	34.01	41.01	32.24	42.37	29.42	20.48	31.03	120.12	13.63	23.75	23.05	23.31	7.71	14	19.27	47.39	46.29	93.03	25.35	18.63	42.45	40.31	41.79	17.05	63.07	39.19	54.72	50.2	28.91	54.62	49.94	46.9	14.95	45.3	44.42	34.85	14.28	15.06	106.29	35.1	27.94	11.01	60.87	13.77	19.27	23.88	36.67	43.92	30.81	42.08	5.1	45.91
STAU2	21.72	30.78	10.76	27.2	19.7	13.2	15.44	16.93	37.63	12.99	9.16	17.69	34.8	6.96	11.52	14.4	15.24	26.5	26.9	21.4	13.35	13.94	21.63	31.82	38.28	17.64	20.89	15.79	19.32	9.76	41.08	13.41	31.65	9.45	15.66	14.19	30.71	18.68	23.62	24.28	33.49	18.28	32.81	21.49	32.18	36.44	32.78	16.91	12.87	32.46	17.52	8.54	41.18	16.47	41.09	15.64	30.41	38.83	16.06	11.45	29.98	15.43	15.65	20.51	24.33	14.78	11.42	13.38	17.89	47.75	47.37	18.18	22.58	13.86	14.32	14.47	18.56	16.54	15.44	19.28	40.25	10.95	36.28	11.07	25.22
SLC66A1	15.64	25.68	40.4	25.1	25.4	11.95	7.75	28.12	31.95	41.72	6.16	10.01	23.79	19.58	6.65	10.71	26.13	10.27	34.82	11.89	10.88	20.15	7.86	5.18	10.93	7.07	16.87	30.83	15.37	20.16	19.79	12.12	8.92	20.77	26.28	39.91	20.17	16.83	10.99	27.59	5.99	12.67	27.54	18.93	12.56	9.78	15.12	18.79	11.55	22.66	19.13	9.55	5.9	17.95	8.92	44	6.67	8.17	19.95	41.98	5.75	14.84	19.14	14.48	8.32	27.09	34.84	31.05	22.96	8.58	10.97	19.54	46.08	37.36	35.15	17.22	28.7	18.68	11.25	38.8	10.15	45.96	19.71	16.19	6.89
CTNS	11.56	13.41	17.93	8.16	11.96	9.63	3.81	10.25	20.88	15.86	3.59	22.06	11.63	5.26	8.14	3.3	14.42	3.01	30.79	13.6	7.73	8.85	11.3	9.49	5.89	8.88	13.48	23.18	11.56	16.75	11.05	8.62	10.61	8.76	19.09	24.98	5.85	12.7	14.57	16.58	5.97	12.46	10.45	9.81	14.82	12.42	18.7	19.73	4.58	19.66	6.68	11.16	7.96	9.12	7.42000000000001	15.56	10.24	7.09	9.99	24.83	6.57	7.36	12.52	15.29	17.98	31.58	11.75	11.13	17.06	16.69	12.17	6.2	20.1	8.81	14.02	12.16	14.54	13.17	8.19	11.15	10.11	25.07	13.38	25.57	10.49
RTN4R	0.43	3.52	2.65	12.19	17.7	1.96	0.2	1.87	9.74	5.19	1.17	3.88	5.67	1.81	0.45	2.3	2.74	0.14	10.3	0.33	0.42	5.4	0.88	0.95	0.59	0.43	4.99	3.14	0.82	2.83	16.17	1.43	0.33	2.44	7.77	3.12	12.42	0.56	0.3	50.28	0.76	3.28	0.17	7.29	1.62	5.69	4.81	3.02	0.22	3.38	0.27	1.33	0.34	0.26	0.56	13.79	0.6	0.21	10.33	9.4	0.29	1.51	5.61	1.73	2.95	34.16	5.69	9.38	26.49	4.08	2.14	2.28	20.52	0.71	3.98	1.51	20.25	0.67	3.24	0.93	1.03	7.28	0.57	6.02	0.04
